"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2023,"gbif","-40.406032","-19.819664","Espírito Santo"
"Bradypus crinitus",2023,"gbif","-40.794299","-19.973988","Espírito Santo"
"Bradypus crinitus",2023,"gbif","-42.339089","-22.568433","Rio de Janeiro"
"Bradypus crinitus",2023,"gbif","-40.416103","-19.853158","Espírito Santo"
"Bradypus crinitus",2023,"gbif","-40.307444","-20.26714","Espírito Santo"
"Bradypus crinitus",2023,"gbif","-41.145959","-20.562411","Espírito Santo"
"Bradypus crinitus",2023,"gbif","-40.996098","-20.229928","Espírito Santo"
"Bradypus crinitus",2022,"gbif","-40.404207","-19.909994","Espírito Santo"
"Bradypus crinitus",2022,"gbif","-40.535977","-19.981535","Espírito Santo"
"Bradypus crinitus",2022,"gbif","-40.745178","-19.878869","Espírito Santo"
"Bradypus crinitus",2022,"gbif","-40.345646","-20.397796","Espírito Santo"
"Bradypus crinitus",2022,"gbif","-40.365399","-20.356771","Espírito Santo"
"Bradypus crinitus",2021,"gbif","-43.397583","-22.969964","Rio de Janeiro"
"Bradypus crinitus",2021,"gbif","-40.695168","-20.208792","Espírito Santo"
"Bradypus crinitus",2021,"gbif","-41.198727","-20.196582","Espírito Santo"
"Bradypus crinitus",2021,"gbif","-42.103884","-22.550975","Rio de Janeiro"
"Bradypus crinitus",2021,"gbif","-42.18069","-22.485671","Rio de Janeiro"
"Bradypus crinitus",2020,"gbif","-41.181943","-21.646495","Rio de Janeiro"
"Bradypus crinitus",2020,"gbif","-42.099279","-22.509317","Rio de Janeiro"
"Bradypus crinitus",2020,"gbif","-42.014321","-22.407992","Rio de Janeiro"
"Bradypus crinitus",2020,"gbif","-42.013101","-22.588526","Rio de Janeiro"
"Bradypus crinitus",2019,"gbif","-40.286617","-20.09227","Espírito Santo"
"Bradypus crinitus",2019,"gbif","-40.450273","-19.923306","Espírito Santo"
"Bradypus crinitus",2019,"gbif","-40.300294","-20.269004","Espírito Santo"
"Bradypus crinitus",2019,"gbif","-40.848604","-20.456062","Espírito Santo"
"Bradypus crinitus",2019,"gbif","-41.165423","-21.75628","Rio de Janeiro"
"Bradypus crinitus",2018,"gbif","-40.25893","-20.253949","Espírito Santo"
"Bradypus crinitus",2017,"gbif","-40.999186","-20.434052","Espírito Santo"
"Bradypus crinitus",2017,"gbif","-41.076412","-20.733351","Espírito Santo"
"Bradypus crinitus",2017,"gbif","-40.692016","-20.269384","Espírito Santo"
"Bradypus crinitus",2017,"gbif","-41.120985","-20.11035","Espírito Santo"
"Bradypus crinitus",2017,"gbif","-42.185879","-22.584594","Rio de Janeiro"
"Bradypus crinitus",2016,"gbif","-40.6372","-20.347201","Espírito Santo"
"Bradypus crinitus",2016,"gbif","-40.977389","-20.149505","Espírito Santo"
