"species","year","base","longitude","latitude","state"
"Bradypus torquatus Illiger, 1811",2023,"gbif","-37.395275","-11.047929","Sergipe"
"Bradypus torquatus Illiger, 1811",2022,"gbif","-37.710109","-11.895365","Bahia"
"Bradypus torquatus Illiger, 1811",2022,"gbif","-38.102485","-12.544951","Bahia"
"Bradypus torquatus Illiger, 1811",2022,"gbif","-38.158088","-12.490144","Bahia"
"Bradypus torquatus Illiger, 1811",2021,"gbif","-38.161907","-12.577492","Bahia"
"Bradypus torquatus Illiger, 1811",2020,"gbif","-38.170378","-12.585865","Bahia"
"Bradypus torquatus Illiger, 1811",2018,"gbif","-38.116189","-12.598573","Bahia"
"Bradypus torquatus Illiger, 1811",2018,"gbif","-38.588619","-13.009022","Bahia"
"Bradypus torquatus Illiger, 1811",NA,"gbif","-41.2851","-11.28517","Bahia"
"Bradypus torquatus Illiger, 1811",NA,"gbif","-41.2851","-11.28517","Bahia"
"Bradypus torquatus",2023,"inat","-38.1544474253","-12.4983232635","Bahia"
"Bradypus torquatus",2022,"inat","-39.0755531573","-15.1175109119","Bahia"
"Bradypus torquatus",2020,"inat","-38.0988495416","-12.5566593615","Bahia"
"Bradypus torquatus",2022,"inat","-38.1115412417","-12.4453132082","Bahia"
"Bradypus torquatus",2023,"inat","-37.3952750947","-11.0479292679","Sergipe"
"Bradypus torquatus",2018,"inat","-38.0333611452","-12.4067122373","Bahia"
"Bradypus torquatus",2022,"inat","-39.0908092539","-14.5625294045","Bahia"
"Bradypus torquatus",2022,"inat","-38.1580876213","-12.490144003","Bahia"
"Bradypus torquatus",2022,"inat","-38.1024851658","-12.5449512453","Bahia"
"Bradypus torquatus",2020,"inat","-38.1703782235","-12.5858645328","Bahia"
"Bradypus torquatus",2022,"inat","-37.7101089088","-11.8953650208","Bahia"
"Bradypus torquatus",2018,"inat","-38.116189087","-12.598573116","Bahia"
"Bradypus torquatus",2021,"inat","-38.1619071233","-12.5774923603","Bahia"
"Bradypus torquatus",2020,"inat","-38.073644068","-12.5175921465","Bahia"
