"pa","lon","lat"
"1",-42.278627,-22.54489
"1",-40.27330017,-19.82029915
"1",-42.20420074,-22.48060036
"1",-42.39170074,-22.6508007
"1",-40.697444,-20.039583
"1",-40.600278,-19.935556
"1",-41.901484,-21.917766
"1",-42.06949296,-22.54782199
"1",-42.03119593,-22.52639285
"1",-42.734777,-22.337696
"1",-42.02667,-22.4375
"1",-42.0045,-22.30314
"1",-40.65,-20.35
"1",-40.66666,-20.4
"1",-42.38765,-22.60099
"1",-40.713332,-19.987205
"1",-40.75181004,-20.03421916
"1",-40.750373,-20.060391
"1",-40.831627,-20.094021
"1",-40.884654,-20.134103
"1",-40.905899,-20.176513
"1",-40.87169899,-20.17370229
"1",-40.853566,-20.060815
"1",-41.301414,-20.242408
"1",-40.20694167,-19.932631
"1",-40.982627,-20.081553
"1",-40.975984,-20.058758
"1",-40.98955,-20.097517
"1",-42.264223,-22.937543
"1",-40.997366,-22.000785
"1",-41.071557,-20.191684
"1",-40.759464,-20.101037
"1",-41.128372,-21.333605
"1",-40.977389,-20.149505
"1",-40.63719954,-20.34720061
"1",-41.11576399,-20.12951465
"1",-41.9023,-22.30401
"1",-40.692016,-20.269384
"1",-41.120985,-20.11035
"1",-41.076412,-20.733351
"1",-42.18587902,-22.5845939
"1",-40.99918562,-20.43405207
"1",-41.08112434,-20.14559629
"1",-41.01106,-20.43021
"1",-41.02582,-20.42245
"1",-41.11018,-20.53651
"1",-41.11538,-20.51742
"1",-40.52362,-20.27676
"1",-40.70139,-19.95391
"1",-40.53361,-19.91276
"1",-40.55251,-19.91424
"1",-40.530468,-19.97386
"1",-41.01596,-20.29252
"1",-40.8815,-19.99497
"1",-40.25892987,-20.25394934
"1",-40.848604,-20.456062
"1",-40.450273,-19.923306
"1",-41.165423,-21.75628
"1",-41.19739861,-21.78991575
"1",-40.28661746,-20.0922699
"1",-41.181943,-21.646495
"1",-42.099279,-22.509317
"1",-42.01310073,-22.58852558
"1",-42.01432072,-22.40799216
"1",-41.21018805,-20.30377907
"1",-40.24203066,-20.28720089
"1",-40.22026774,-20.20937023
"1",-43.397583,-22.969964
"1",-42.103884,-22.550975
"1",-42.18069,-22.485671
"1",-41.19872749,-20.19658247
"1",-40.69516814,-20.20879193
"1",-42.15448658,-22.66797751
"1",-40.27036911,-20.24983936
"1",-42.34679582,-22.49529453
"1",-40.535977,-19.981535
"1",-40.745178,-19.878869
"1",-40.404207,-19.909994
"1",-42.10645687,-22.77380339
"1",-40.54315863,-19.80749416
"1",-41.04729479,-20.43345611
"1",-41.05676993,-21.76031885
"1",-41.02092278,-21.6619319
"1",-40.36539857,-20.35677127
"1",-40.34564554,-20.3977965
"1",-40.416103,-19.853158
"1",-40.307444,-20.26714
"1",-41.145959,-20.562411
"1",-40.794299,-19.973988
"1",-40.996098,-20.229928
"1",-40.5658432,-19.88338176
"1",-41.14858664,-20.20426876
"1",-41.09577756,-20.53026327
"1",-41.10679613,-20.35834617
"1",-42.33908934,-22.56843329
"1",-40.40603167,-19.81966364
"1",-41.17278229,-20.49017284
"1",-42.624619,-22.305633
"1",-42.95230833,-22.45142778
"1",-41.78694444,-22.37083333
"1",-40.07222222,-19.39111111
"1",-40.68305556,-20.41277778
"1",-40.25,-19.8
"1",-40.59,-19.93
"1",-40.87,-19.87
"1",-42.43,-22.62
"1",-40.05901391,-19.39926707
"1",-40.56218324,-19.90571058
"1",-41.84616,-21.870509
"1",-42.53111111,-22.28194444
"1",-40.36972222,-19.83194444
"1",-41.05111111,-21.64027778
"1",-42.16138889,-22.82333333
"1",-39.88080263,-19.67112921
"1",-42.03916345,-22.42512542
"1",-40.550833,-19.8825
"1",-41.889381,-22.432986
"1",-41.033333,-21.75
"1",-40.7,-20.5667
"1",-40.1603,-19.8768
"1",-40.1336,-19.9289
"1",-40.1544,-19.6286
"1",-40.0887,-19.8706
"1",-40.5025,-20.2781
"1",-41.0078,-20.4131
"1",-40.9079,-19.9971
"1",-41.4853,-21.1306
"1",-40.8981,-20.1158
"1",-40.6869,-20.0481
"1",-40.9333,-20.0831
"1",-40.6756,-19.9181
"1",-40.6122,-19.9233
"1",-40.3344,-20.2989
"1",-42.1775,-22.4364
"1",-41.0378,-21.6036
