"pa","lon","lat"
"1",-39.07529831,-15.29329967
"1",-39.036833,-15.180278
"1",-38.02775,-12.520417
"1",-39.046222,-13.658806
"1",-39.028136,-14.829481
"1",-39.041792,-14.794958
"1",-39.059694,-14.473203
"1",-38.511781,-13.006058
"1",-39.14826,-15.14076
"1",-39.133666,-15.150687
"1",-39.136705,-15.11339
"1",-39.222778,-14.785278
"1",-39.162569,-15.139122
"1",-39.005642,-15.194169
"1",-37.13830803,-10.83828348
"1",-37.507033,-11.334303
"1",-39.007465,-15.162254
"1",-39.06408,-15.250947
"1",-39.02457,-14.92501
"1",-39.22565,-14.77464
"1",-39.004092,-14.998717
"1",-39.03462,-15.341164
"1",-39.216464,-14.772437
"1",-39.231679,-14.756631
"1",-38.588619,-13.009022
"1",-38.03336115,-12.40671224
"1",-38.11618909,-12.59857312
"1",-39.05704035,-14.2658406
"1",-38.09884954,-12.55665936
"1",-38.17037822,-12.58586453
"1",-38.07364407,-12.51759215
"1",-38.161907,-12.577492
"1",-38.102485,-12.544951
"1",-39.07555316,-15.11751091
"1",-38.11154124,-12.44531321
"1",-39.09080925,-14.5625294
"1",-38.15808762,-12.490144
"1",-37.71010891,-11.89536502
"1",-37.395275,-11.047929
"1",-41.2851,-11.28517
"1",-39.03399669,-14.81715098
"1",-39.05333333,-15.17416667
"1",-39.15070074,-14.61714348
"1",-40.06743753,-15.1171552
"1",-39.20071019,-15.3837638
"1",-39.03400189,-14.8504504
"1",-40.20075003,-17.35048935
"1",-39.50071188,-13.58372847
"1",-39.16741469,-16.80048226
"1",-39.03604134,-13.52550754
"1",-39.70741213,-13.57912285
"1",-39.45186713,-13.95309476
"1",-39.06114664,-14.42443481
"1",-39.39181897,-15.19750324
"1",-39.37441646,-15.97390466
"1",-39.50071853,-15.41715736
"1",-39.10069959,-13.95043734
"1",-39.46741887,-14.8004503
"1",-39.33401491,-15.43376202
"1",-39.31740408,-14.30044035
"1",-39.65072344,-15.46715981
"1",-39.73402408,-14.13374006
"1",-39.86743241,-14.26713806
"1",-39.65071733,-14.70044694
"1",-39.06740179,-15.18375722
"1",-39.0604892,-15.16673477
"1",-39.15625479,-13.80904407
"1",-39.28610626,-15.56861754
"1",-39.09342625,-15.31934549
"1",-37.23333333,-11.2
"1",-39.25,-15.11666667
"1",-38.94722222,-15.675
"1",-38.99666667,-14.2775
"1",-39.28027778,-14.78555556
"1",-39.23401543,-17.33379005
"1",-39.15070654,-16.35047896
"1",-39.20070361,-15.36715566
"1",-39.00069773,-15.03375624
"1",-40.02674525,-15.61715688
"1",-39.45071761,-16.70047701
"1",-39.56742725,-16.55047713
"1",-39.00069531,-14.26714317
"1",-39.23335915,-13.70133627
"1",-39.14401374,-14.01827585
"1",-39.67336337,-13.86516897
"1",-39.16199919,-15.62016755
"1",-39.07492247,-15.57063496
"1",-39.03400422,-16.2837775
"1",-39.01739789,-14.10043728
"1",-39.10070302,-14.76715058
"1",-39.10085362,-14.30063074
"1",-39.33401715,-15.6837637
"1",-39.30071228,-14.9671501
"1",-39.05069917,-14.78374894
"1",-39.58401721,-14.8671509
"1",-39.35071392,-15.08375395
"1",-39.50699169,-14.78374894
"1",-39.26740757,-14.80045263
"1",-39.28400647,-14.60044621
"1",-39.71741745,-13.58373266
"1",-39.0507003,-15.18375256
"1",-39.13681695,-14.49294785
"1",-39.11619677,-14.91495152
"1",-39.0884125,-13.32456258
"1",-39.19555556,-17.51944444
"1",-38.4575,-12.87972222
"1",-39.0425,-15.18888889
"1",-39.04,-13.65
"1",-39.73138889,-13.59292055
"1",-39.52768695,-15.15549345
"1",-39.2006,-17.5308
"1",-38.8867,-15.8478
"1",-39.3217,-14.9678
"1",-38.9511,-15.6869
"1",-39.3839,-15.83
"1",-39.2514,-17.7239
"1",-38.0435,-11.9436
"1",-39.4758,-13.7436
"1",-39.585,-14.8497
"1",-39.0975,-14.7889
"1",-39.0456,-14.8042
"1",-39.0728,-14.6397
"1",-39.1678,-14.7697
"1",-39.1606,-14.6075
"1",-39.2925,-14.7911
"1",-39.2839,-14.8331
"1",-39.0119,-14.1081
"1",-38.3039,-12.5094
"1",-39.5638,-17.758
"1",-39.6361,-15.4511
"1",-39.0731,-16.4472
"1",-38.4658,-12.8881
"1",-38.4178,-12.8872
"1",-39.0411,-16.2939
"1",-39.2742,-15.4361
"1",-39.4269,-13.047
"1",-37.6547,-11.9276
"1",-39.7378,-13.5506
"1",-39.0494,-15.2589
"1",-39.3009,-14.8049
"1",-37.55,-11.3
"0",-37.8708333327419,-10.6791666669918
"0",-38.5708333327896,-10.6875000003248
"0",-38.0458333327538,-10.7041666669907
"0",-38.9958333328186,-10.7375000003226
"0",-38.5708333327896,-10.7458333336555
"0",-38.4791666661167,-10.7458333336555
"0",-39.4041666661797,-10.7541666669885
"0",-38.5458333327879,-10.7625000003215
"0",-38.0874999994233,-10.7791666669874
"0",-38.7958333328049,-10.7875000003204
"0",-38.287499999437,-10.8041666669863
"0",-39.4791666661848,-10.8125000003193
"0",-38.2958333327709,-10.8291666669852
"0",-40.4541666662513,-10.8625000003171
"0",-38.2208333327658,-10.9208333336479
"0",-39.9791666662189,-11.0458333336424
"0",-38.3624999994421,-11.0625000003083
"0",-38.4374999994472,-11.0708333336413
"0",-39.4374999995153,-11.1041666669732
"0",-39.4041666661797,-11.1208333336391
"0",-38.6874999994642,-11.145833333638
"0",-39.7541666662036,-11.154166666971
"0",-39.0708333328237,-11.1791666669699
"0",-39.5374999995221,-11.1875000003028
"0",-38.6458333327947,-11.1958333336358
"0",-38.3458333327743,-11.2125000003018
"0",-39.7374999995358,-11.2291666669677
"0",-38.3624999994421,-11.2708333336325
"0",-40.1458333328969,-11.2875000002985
"0",-39.0541666661559,-11.3958333336271
"0",-39.5791666661917,-11.4375000002919
"0",-39.8458333328765,-11.4958333336227
"0",-40.2708333329055,-11.5041666669556
"0",-39.3458333328424,-11.5125000002886
"0",-38.787499999471,-11.5958333336183
"0",-40.8791666662802,-11.6041666669513
"0",-40.9458333329515,-11.6125000002842
"0",-40.479166666253,-11.6291666669502
"0",-39.9291666662155,-11.679166666948
"0",-39.6624999995307,-11.6875000002809
"0",-40.5124999995886,-11.7375000002788
"0",-40.2374999995698,-11.7458333336117
"0",-39.4374999995153,-11.7625000002777
"0",-39.0124999994864,-11.8208333336084
"0",-39.0791666661576,-11.8375000002744
"0",-40.8208333329429,-11.8708333336062
"0",-38.5624999994557,-11.8791666669392
"0",-40.5208333329225,-11.8875000002722
"0",-40.2541666662377,-11.8875000002722
"0",-39.970833332885,-11.8958333336051
"0",-41.0291666662905,-11.9708333336019
"0",-40.9624999996193,-11.9958333336008
"0",-38.7124999994659,-12.0125000002667
"0",-38.6874999994642,-12.0291666669326
"0",-40.3791666662462,-12.0875000002634
"0",-40.054166666224,-12.0875000002634
"0",-39.7624999995375,-12.1041666669294
"0",-39.5208333328543,-12.1208333335953
"0",-38.7791666661371,-12.1291666669283
"0",-40.645833332931,-12.1375000002612
"0",-40.2291666662359,-12.1375000002612
"0",-41.3541666663126,-12.1541666669272
"0",-39.5374999995221,-12.1625000002601
"0",-39.2458333328356,-12.1791666669261
"0",-38.8291666661405,-12.204166666925
"0",-40.4208333329157,-12.2208333335909
"0",-39.5208333328543,-12.2291666669239
"0",-39.0124999994864,-12.2291666669239
"0",-40.4874999995869,-12.2708333335887
"0",-40.1958333329003,-12.3541666669184
"0",-40.137499999563,-12.3625000002514
"0",-39.7374999995358,-12.4375000002481
"0",-39.045833332822,-12.454166666914
"0",-39.462499999517,-12.47083333358
"0",-39.0958333328254,-12.5125000002448
"0",-39.3374999995085,-12.5208333335778
"0",-40.0124999995545,-12.5291666669107
"0",-40.8541666662785,-12.5375000002437
"0",-40.3708333329123,-12.6208333335734
"0",-41.2208333329702,-12.6291666669064
"0",-40.220833332902,-12.6958333335701
"0",-40.6541666662649,-12.7041666669031
"0",-41.1208333329634,-12.7791666668998
"0",-40.7374999996039,-12.8125000002317
"0",-41.0874999996278,-12.8375000002306
"0",-41.0791666662939,-12.8541666668965
"0",-40.895833332948,-12.8708333335624
"0",-40.3624999995784,-12.8708333335624
"0",-40.2958333329072,-12.9125000002273
"0",-40.3624999995784,-12.9541666668921
"0",-40.1958333329003,-12.9541666668921
"0",-40.8291666662768,-12.979166666891
"0",-40.987499999621,-13.0458333335548
"0",-41.2041666663024,-13.1041666668855
"0",-39.9791666662189,-13.1125000002185
