"pa","lon","lat"
"1",-39.07529831,-15.29329967
"1",-39.036833,-15.180278
"1",-38.02775,-12.520417
"1",-39.046222,-13.658806
"1",-39.028136,-14.829481
"1",-39.041792,-14.794958
"1",-39.059694,-14.473203
"1",-38.511781,-13.006058
"1",-39.14826,-15.14076
"1",-39.133666,-15.150687
"1",-39.136705,-15.11339
"1",-39.222778,-14.785278
"1",-39.162569,-15.139122
"1",-39.005642,-15.194169
"1",-37.13830803,-10.83828348
"1",-37.507033,-11.334303
"1",-39.007465,-15.162254
"1",-39.06408,-15.250947
"1",-39.02457,-14.92501
"1",-39.22565,-14.77464
"1",-39.004092,-14.998717
"1",-39.03462,-15.341164
"1",-39.216464,-14.772437
"1",-39.231679,-14.756631
"1",-38.588619,-13.009022
"1",-38.03336115,-12.40671224
"1",-38.11618909,-12.59857312
"1",-39.05704035,-14.2658406
"1",-38.09884954,-12.55665936
"1",-38.17037822,-12.58586453
"1",-38.07364407,-12.51759215
"1",-38.161907,-12.577492
"1",-38.102485,-12.544951
"1",-39.07555316,-15.11751091
"1",-38.11154124,-12.44531321
"1",-39.09080925,-14.5625294
"1",-38.15808762,-12.490144
"1",-37.71010891,-11.89536502
"1",-37.395275,-11.047929
"1",-41.2851,-11.28517
"1",-39.03399669,-14.81715098
"1",-39.05333333,-15.17416667
"1",-39.15070074,-14.61714348
"1",-40.06743753,-15.1171552
"1",-39.20071019,-15.3837638
"1",-39.03400189,-14.8504504
"1",-40.20075003,-17.35048935
"1",-39.50071188,-13.58372847
"1",-39.16741469,-16.80048226
"1",-39.03604134,-13.52550754
"1",-39.70741213,-13.57912285
"1",-39.45186713,-13.95309476
"1",-39.06114664,-14.42443481
"1",-39.39181897,-15.19750324
"1",-39.37441646,-15.97390466
"1",-39.50071853,-15.41715736
"1",-39.10069959,-13.95043734
"1",-39.46741887,-14.8004503
"1",-39.33401491,-15.43376202
"1",-39.31740408,-14.30044035
"1",-39.65072344,-15.46715981
"1",-39.73402408,-14.13374006
"1",-39.86743241,-14.26713806
"1",-39.65071733,-14.70044694
"1",-39.06740179,-15.18375722
"1",-39.0604892,-15.16673477
"1",-39.15625479,-13.80904407
"1",-39.28610626,-15.56861754
"1",-39.09342625,-15.31934549
"1",-37.23333333,-11.2
"1",-39.25,-15.11666667
"1",-38.94722222,-15.675
"1",-38.99666667,-14.2775
"1",-39.28027778,-14.78555556
"1",-39.23401543,-17.33379005
"1",-39.15070654,-16.35047896
"1",-39.20070361,-15.36715566
"1",-39.00069773,-15.03375624
"1",-40.02674525,-15.61715688
"1",-39.45071761,-16.70047701
"1",-39.56742725,-16.55047713
"1",-39.00069531,-14.26714317
"1",-39.23335915,-13.70133627
"1",-39.14401374,-14.01827585
"1",-39.67336337,-13.86516897
"1",-39.16199919,-15.62016755
"1",-39.07492247,-15.57063496
"1",-39.03400422,-16.2837775
"1",-39.01739789,-14.10043728
"1",-39.10070302,-14.76715058
"1",-39.10085362,-14.30063074
"1",-39.33401715,-15.6837637
"1",-39.30071228,-14.9671501
"1",-39.05069917,-14.78374894
"1",-39.58401721,-14.8671509
"1",-39.35071392,-15.08375395
"1",-39.50699169,-14.78374894
"1",-39.26740757,-14.80045263
"1",-39.28400647,-14.60044621
"1",-39.71741745,-13.58373266
"1",-39.0507003,-15.18375256
"1",-39.13681695,-14.49294785
"1",-39.11619677,-14.91495152
"1",-39.0884125,-13.32456258
"1",-39.19555556,-17.51944444
"1",-38.4575,-12.87972222
"1",-39.0425,-15.18888889
"1",-39.04,-13.65
"1",-39.73138889,-13.59292055
"1",-39.52768695,-15.15549345
"1",-39.2006,-17.5308
"1",-38.8867,-15.8478
"1",-39.3217,-14.9678
"1",-38.9511,-15.6869
"1",-39.3839,-15.83
"1",-39.2514,-17.7239
"1",-38.0435,-11.9436
"1",-39.4758,-13.7436
"1",-39.585,-14.8497
"1",-39.0975,-14.7889
"1",-39.0456,-14.8042
"1",-39.0728,-14.6397
"1",-39.1678,-14.7697
"1",-39.1606,-14.6075
"1",-39.2925,-14.7911
"1",-39.2839,-14.8331
"1",-39.0119,-14.1081
"1",-38.3039,-12.5094
"1",-39.5638,-17.758
"1",-39.6361,-15.4511
"1",-39.0731,-16.4472
"1",-38.4658,-12.8881
"1",-38.4178,-12.8872
"1",-39.0411,-16.2939
"1",-39.2742,-15.4361
"1",-39.4269,-13.047
"1",-37.6547,-11.9276
"1",-39.7378,-13.5506
"1",-39.0494,-15.2589
"1",-39.3009,-14.8049
"1",-37.55,-11.3
"0",-37.8874999994097,-10.5708333336632
"0",-37.8208333327385,-10.5708333336632
"0",-37.6041666660571,-10.5708333336632
"0",-37.7208333327317,-10.5791666669962
"0",-38.1208333327589,-10.6041666669951
"0",-38.3208333327726,-10.612500000328
"0",-38.0458333327538,-10.612500000328
"0",-38.1458333327606,-10.620833333661
"0",-37.945833332747,-10.620833333661
"0",-38.3124999994387,-10.629166666994
"0",-38.4208333327794,-10.6458333336599
"0",-38.1458333327606,-10.6458333336599
"0",-37.9624999994148,-10.6541666669929
"0",-37.7041666660639,-10.6541666669929
"0",-38.4874999994506,-10.6625000003258
"0",-38.1874999994302,-10.6625000003258
"0",-38.3624999994421,-10.6708333336588
"0",-38.9541666661491,-10.6791666669918
"0",-38.3291666661065,-10.6791666669918
"0",-37.7958333327368,-10.6791666669918
"0",-37.7374999993995,-10.6791666669918
"0",-37.9624999994148,-10.6875000003248
"0",-38.9708333328169,-10.7041666669907
"0",-38.9041666661457,-10.7041666669907
"0",-38.0791666660894,-10.7041666669907
"0",-37.7541666660673,-10.7041666669907
"0",-39.0374999994881,-10.7125000003237
"0",-38.6041666661252,-10.7208333336566
"0",-38.3874999994438,-10.7208333336566
"0",-38.370833332776,-10.7291666669896
"0",-38.5541666661218,-10.7375000003226
"0",-38.3458333327743,-10.7375000003226
"0",-38.0124999994182,-10.7375000003226
"0",-39.1541666661627,-10.7458333336555
"0",-38.962499999483,-10.7458333336555
"0",-38.5874999994574,-10.7458333336555
"0",-38.0374999994199,-10.7541666669885
"0",-39.5041666661865,-10.7625000003215
"0",-39.6208333328612,-10.7708333336544
"0",-38.787499999471,-10.7708333336544
"0",-38.6291666661269,-10.7708333336544
"0",-39.1041666661593,-10.7791666669874
"0",-38.704166666132,-10.7791666669874
"0",-37.8708333327419,-10.7791666669874
"0",-39.7791666662053,-10.7875000003204
"0",-39.1374999994949,-10.7875000003204
"0",-38.287499999437,-10.7875000003204
"0",-37.9041666660775,-10.7958333336533
"0",-39.9458333328833,-10.8041666669863
"0",-39.1041666661593,-10.8041666669863
"0",-38.7208333327998,-10.8041666669863
"0",-37.9624999994148,-10.8041666669863
"0",-39.637499999529,-10.8125000003193
"0",-38.787499999471,-10.8125000003193
"0",-38.7208333327998,-10.8125000003193
"0",-38.5874999994574,-10.8125000003193
"0",-39.3958333328458,-10.8208333336522
"0",-38.9791666661508,-10.8208333336522
"0",-38.6374999994608,-10.8208333336522
"0",-38.1958333327641,-10.8208333336522
"0",-39.2291666661678,-10.8291666669852
"0",-39.1374999994949,-10.8291666669852
"0",-39.0874999994915,-10.8291666669852
"0",-38.370833332776,-10.8291666669852
"0",-40.1458333328969,-10.8375000003182
"0",-39.7958333328731,-10.8375000003182
"0",-39.4541666661831,-10.8375000003182
"0",-39.4374999995153,-10.8375000003182
"0",-38.5541666661218,-10.8375000003182
"0",-40.2291666662359,-10.8458333336512
"0",-39.8458333328765,-10.8458333336512
"0",-38.7541666661354,-10.8458333336512
"0",-38.4291666661133,-10.8458333336512
"0",-39.8458333328765,-10.8541666669841
"0",-39.7041666662002,-10.8541666669841
"0",-40.2041666662342,-10.8625000003171
"0",-38.879166666144,-10.8625000003171
"0",-38.204166666098,-10.8625000003171
"0",-39.9208333328816,-10.8708333336501
"0",-39.0208333328203,-10.8708333336501
"0",-38.7958333328049,-10.8708333336501
"0",-38.1374999994267,-10.8708333336501
"0",-40.4458333329174,-10.879166666983
"0",-40.3041666662411,-10.879166666983
"0",-39.970833332885,-10.879166666983
"0",-39.7624999995375,-10.879166666983
"0",-38.2208333327658,-10.879166666983
"0",-40.5291666662564,-10.887500000316
"0",-37.9291666660792,-10.887500000316
"0",-40.6624999995988,-10.895833333649
"0",-40.2958333329072,-10.895833333649
"0",-40.2374999995698,-10.895833333649
"0",-40.9458333329515,-10.9041666669819
"0",-40.4208333329157,-10.9125000003149
"0",-40.2541666662377,-10.9125000003149
